x,y
10000,2370.111328
12142.80273,2335.582031
14744.76563,2350.722168
17904.27734,2389.131836
21740.81055,2456.723145
26399.4375,2549.527832
32056.31641,2674.611328
38925.35156,2833.403564
47266.28516,3027.283203
57394.51563,3260.502686
69693.02344,3544.608398
84626.85938,3889.835205
102760.7266,4303.102051
124780.3203,4813.85791
151518.2813,5442.848633
183985.6563,6266.087891
223410.1406,7366.721191
271282.5313,8879.385742
329413.0313,11004
399999.75,14038.24121
